BEGINDATE;CLOSED;CLOSEDATE;COMPANY_ID;ID;OPPORTUNITY;PROBABILITY
2015-07-03T03:00:00+03:00;Y;2015-08-12T03:00:00+03:00;171;3693;0.00;0
2013-12-18T03:00:00+04:00;Y;2014-03-11T03:00:00+04:00;175;365;22290.00;0
2013-12-05T03:00:00+04:00;Y;2017-09-27T03:00:00+03:00;159;235;40000.00;80
2014-04-17T03:00:00+04:00;Y;2014-04-24T03:00:00+04:00;159;697;31800.00;80
2014-08-06T03:00:00+04:00;Y;2014-08-13T03:00:00+04:00;159;1207;6139.00;100
2016-03-21T03:00:00+03:00;Y;2016-05-19T03:00:00+03:00;159;6950;71050.00;0
2013-10-09T03:00:00+04:00;Y;2013-10-16T03:00:00+04:00;81;37;17700.00;0
2013-10-28T03:00:00+04:00;Y;2013-11-04T03:00:00+04:00;81;103;15000.00;70
2014-04-20T03:00:00+04:00;Y;2014-04-27T03:00:00+04:00;81;733;39840.00;50
2014-05-19T03:00:00+04:00;Y;2014-05-26T03:00:00+04:00;81;877;40000.00;50
2015-03-02T03:00:00+03:00;Y;2015-03-09T03:00:00+03:00;81;2245;2900.00;0
2013-11-18T03:00:00+04:00;Y;2014-03-11T03:00:00+04:00;127;137;10000.00;50
2013-11-18T03:00:00+04:00;Y;2014-03-11T03:00:00+04:00;127;139;189850.00;50
2013-11-18T03:00:00+04:00;Y;2013-11-25T03:00:00+04:00;127;141;94400.00;50
2015-03-17T03:00:00+03:00;Y;2015-09-18T03:00:00+03:00;127;2309;7238.00;0
2014-02-12T03:00:00+04:00;Y;2014-02-19T03:00:00+04:00;179;471;26310.00;100
2014-03-18T03:00:00+04:00;Y;2014-03-25T03:00:00+04:00;181;613;26710.00;80
2014-12-15T03:00:00+03:00;Y;2014-12-22T03:00:00+03:00;181;1817;1078.00;0
2016-02-02T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;181;6686;1078.00;0
2013-10-16T03:00:00+04:00;Y;2013-10-23T03:00:00+04:00;61;55;100000.00;0
2013-12-02T03:00:00+04:00;Y;2013-12-09T03:00:00+04:00;155;229;54940.00;0
2014-06-30T03:00:00+04:00;Y;2014-07-07T03:00:00+04:00;155;1047;34700.00;0
2014-06-30T03:00:00+04:00;Y;2014-07-07T03:00:00+04:00;155;1597;20000.00;0
2014-02-10T03:00:00+04:00;Y;2014-02-17T03:00:00+04:00;191;457;3800.00;100
2015-04-23T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;191;2647;1450.00;0
2015-04-23T03:00:00+03:00;Y;2015-12-30T03:00:00+03:00;191;5226;0.00;0
2015-04-23T03:00:00+03:00;Y;2016-11-14T03:00:00+03:00;191;7938;0.00;0
2014-02-11T03:00:00+04:00;Y;2014-02-18T03:00:00+04:00;193;463;6850.00;0
2014-04-23T03:00:00+04:00;Y;2014-04-30T03:00:00+04:00;195;757;6350.00;50
2014-08-04T03:00:00+04:00;Y;2014-08-11T03:00:00+04:00;195;1193;10000.00;50
2014-09-08T03:00:00+04:00;Y;2014-09-15T03:00:00+04:00;195;1429;4200.00;0
2014-12-15T03:00:00+03:00;Y;2015-07-03T03:00:00+03:00;195;1815;1078.00;0
2014-12-16T03:00:00+03:00;Y;2014-12-23T03:00:00+03:00;195;1843;4600.00;50
2015-06-17T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;3631;5400.00;0
2015-07-03T03:00:00+03:00;Y;2015-07-22T03:00:00+03:00;195;3691;0.00;0
2015-07-22T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;3773;2400.00;0
2016-02-08T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;6726;3625.00;0
2016-02-08T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;6766;1078.00;0
2016-03-29T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;7064;1450.00;0
2016-02-08T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;7478;4350.00;0
2016-06-08T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;7891;1450.00;0
2017-03-10T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;9562;1188.00;0
2017-07-25T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;195;10934;2900.00;0
2015-03-27T03:00:00+03:00;Y;2015-04-28T03:00:00+03:00;197;2491;8700.00;0
2015-09-03T03:00:00+03:00;Y;2017-04-09T03:00:00+03:00;197;4884;407600.00;100
2014-02-19T03:00:00+04:00;Y;2014-02-26T03:00:00+04:00;767;497;32800.00;100
2014-05-19T03:00:00+04:00;Y;2014-05-26T03:00:00+04:00;767;873;10000.00;50
2014-12-15T03:00:00+03:00;Y;2014-12-22T03:00:00+03:00;767;1813;1078.00;0
2016-02-09T03:00:00+03:00;Y;2018-02-13T03:00:00+03:00;767;6732;1078.00;0
2017-01-17T03:00:00+03:00;Y;2017-03-25T03:00:00+03:00;767;9322;1188.00;0
2018-01-22T03:00:00+03:00;Y;2018-02-28T03:00:00+03:00;767;12752;1188.00;
2014-08-13T03:00:00+04:00;Y;2014-08-20T03:00:00+04:00;775;1243;6900.00;50
2014-09-08T03:00:00+04:00;Y;2014-09-15T03:00:00+04:00;775;1431;20000.00;0
2014-10-06T03:00:00+04:00;Y;2014-10-13T03:00:00+04:00;775;1567;3800.00;50
2014-10-06T03:00:00+04:00;Y;2014-10-13T03:00:00+04:00;775;1569;11500.00;0
2014-11-27T03:00:00+03:00;Y;2014-11-27T03:00:00+03:00;775;1753;8400.00;0
2015-02-18T03:00:00+03:00;Y;2015-06-01T03:00:00+03:00;775;2193;12050.00;0
2015-03-23T03:00:00+03:00;Y;2015-06-19T03:00:00+03:00;775;2397;104950.00;0
2015-04-29T03:00:00+03:00;Y;2015-09-07T03:00:00+03:00;775;2657;41325.00;0
2015-08-04T03:00:00+03:00;Y;2015-09-10T03:00:00+03:00;775;4081;8700.00;0
2015-09-01T03:00:00+03:00;Y;2016-10-07T03:00:00+03:00;775;4652;36275.00;0
2015-10-02T03:00:00+03:00;Y;2016-10-07T03:00:00+03:00;775;5182;4350.00;0
