DATE_BILL;DATE_PAYED;DATE_PAY_BEFORE;PAYED;PRICE;STATUS_ID;UF_COMPANY_ID
2015-02-27T03:00:00+03:00;2015-03-10T17:52:54+03:00;2015-02-28T03:00:00+03:00;Y;6138.0000;P;167
2015-03-02T03:00:00+03:00;2015-03-02T08:10:25+03:00;;Y;1450.0000;P;29784
2015-03-02T03:00:00+03:00;2015-04-06T14:08:01+03:00;;Y;3300.0000;P;771
2015-03-02T03:00:00+03:00;2015-03-05T15:27:31+03:00;;Y;3300.0000;P;29675
2015-03-04T03:00:00+03:00;2015-03-18T08:41:37+03:00;;Y;10500.0000;P;29669
2015-03-05T03:00:00+03:00;2015-04-22T09:25:23+03:00;;Y;12050.0000;P;775
2015-03-06T03:00:00+03:00;2015-03-10T10:03:49+03:00;;Y;4750.0000;P;29784
2015-03-10T03:00:00+03:00;2015-03-12T13:09:33+03:00;;Y;51600.0000;P;29705
2015-03-10T03:00:00+03:00;2015-03-31T08:05:56+03:00;;Y;136800.0000;P;13
2015-03-10T03:00:00+03:00;2015-04-01T08:14:20+03:00;;Y;19950.0000;P;13
2015-03-10T03:00:00+03:00;;;N;5775.0000;D;13
2015-03-10T03:00:00+03:00;2015-06-06T17:53:11+03:00;;Y;21275.0000;P;29661
2015-03-16T03:00:00+03:00;;;N;15000.0000;D;29661
2015-03-17T03:00:00+03:00;;;N;2900.0000;D;29623
2015-03-18T03:00:00+03:00;2015-03-30T07:53:41+03:00;;Y;23800.0000;P;29627
2015-03-24T03:00:00+03:00;2015-04-01T08:16:36+03:00;;Y;27300.0000;P;13
2015-03-24T03:00:00+03:00;2015-04-01T08:15:44+03:00;;Y;25000.0000;P;13
2015-03-24T03:00:00+03:00;;;N;14500.0000;D;13
2015-03-24T03:00:00+03:00;2015-12-21T18:11:15+03:00;;Y;29400.0000;P;13
2015-03-31T03:00:00+03:00;2015-06-19T07:17:54+03:00;;Y;7250.0000;P;29637
2015-03-31T03:00:00+03:00;2015-04-08T15:03:52+03:00;;Y;3300.0000;P;29675
2015-04-01T03:00:00+03:00;2015-04-01T11:41:47+03:00;;Y;63300.0000;P;29707
2015-04-01T03:00:00+03:00;2015-04-08T08:49:52+03:00;;Y;20000.0000;P;29733
2015-04-02T03:00:00+03:00;2015-05-14T13:45:49+03:00;;Y;4350.0000;P;3
2015-04-02T03:00:00+03:00;2015-05-15T07:33:47+03:00;;Y;3300.0000;P;29677
2015-04-06T03:00:00+03:00;2015-05-13T12:07:02+03:00;;Y;19900.0000;P;29733
2015-04-06T03:00:00+03:00;2015-04-17T08:52:42+03:00;;Y;30000.0000;P;29671
2015-04-06T03:00:00+03:00;2015-04-07T13:50:30+03:00;;Y;3300.0000;P;771
2015-04-08T03:00:00+03:00;2015-04-08T15:06:23+03:00;;Y;1700.0000;P;29675
2015-04-08T03:00:00+03:00;2015-05-07T14:37:32+03:00;;Y;1600.0000;P;29675
2015-04-09T03:00:00+03:00;2015-08-14T15:26:49+03:00;;Y;135500.0000;P;197
2015-04-09T03:00:00+03:00;2015-04-28T07:51:13+03:00;;Y;8700.0000;P;197
2015-04-21T03:00:00+03:00;2015-04-21T08:18:33+03:00;;Y;1900.0000;P;29784
2015-04-20T03:00:00+03:00;2015-05-26T15:40:39+03:00;;Y;10500.0000;P;803
2015-04-23T03:00:00+03:00;2015-06-15T09:02:17+03:00;;Y;14718.0000;P;29675
